MOF_name,Load [molecules/UC],Load [mol/kg framework],Enthalpy_Ads [KJ/mol],Host_Ads_vdW [K],Host_Ads_Coul [K],Ads_Ads_vdW [K],Ads_Ads_Coul [K],Ave_Heat_Cap [J/mol/K],Total_E [K],Ave_Dens [kg/m3],Fugacity [Pa],Molecule
OPT_apo_sym_6_mc_3_sym_3_on_1_2B_4CN,14.8600000000,1.3214027498,-2.73768,-37795.720613,0.00000,-2308.106197,0.00000,1390.56514,2217.59797,39.11591,98295.62964388793625,23-dmb_433K_1Bar
OPT_apo_sym_6_mc_3_sym_3_on_2_1B_2SH,80.8010000000,6.5875138441,-22.86664,-259506.898547,0.00000,-88390.074673,0.00000,11866.44819,-115729.04050,290.74101,98295.62964388793625,23-dmb_433K_1Bar
OPT_apo_sym_6_mc_3_sym_3_on_2_2B_4CN,14.8594000000,1.3241414937,-1.66187,-37477.996874,0.00000,-2408.563902,0.00000,1388.54768,2661.43412,38.49981,98295.62964388793625,23-dmb_433K_1Bar
OPT_bcu_sym_8_mc_9_2B_2CF3,,,,,,,,,,,,23-dmb_433K_1Bar
OPT_ceq_sym_3_on_1_sym_7_mc_4_1B_2CN_1B_2CN,93.4378000000,5.7727224307,-16.42024,-616742.569367,0.00000,-165449.011241,0.00000,22803.53008,-245907.74192,250.76920,98295.62964388793625,23-dmb_433K_1Bar
OPT_ceq_sym_3_on_1_sym_7_mc_4_1B_4F_1B_4F,90.3300000000,5.0844382063,-13.97350,-541761.424257,0.00000,-159701.100734,0.00000,21575.73240,-184523.74096,242.79170,98295.62964388793625,23-dmb_433K_1Bar
OPT_ceq_sym_3_on_1_sym_7_mc_4_2B_2OH_2B_2OH,12.9732000000,2.2889026983,-1.85221,-31092.985300,0.00000,-2821.170854,0.00000,1290.53179,3232.27511,49.40639,98295.62964388793625,23-dmb_433K_1Bar
OPT_ceq_sym_3_on_2_sym_7_mc_4_1B_2CN_ntn_edge,83.5730000000,4.1531402292,-32.50498,-401864.611165,0.00000,-76736.531702,0.00000,7754.62507,-238862.90505,272.18642,98295.62964388793625,23-dmb_433K_1Bar
OPT_ceq_sym_3_on_2_sym_7_mc_4_1B_4CN_ntn_edge,67.0518000000,2.9769366802,-31.65593,-345707.138471,0.00000,-44704.414411,0.00000,6962.77033,-197775.95636,217.44667,98295.62964388793625,23-dmb_433K_1Bar
OPT_ceq_sym_3_on_2_sym_7_mc_4_2B_4F_2B_4F,9.3936000000,1.3251412625,-0.72583,-22584.416653,0.00000,-1461.473435,0.00000,919.32509,2769.50176,35.52597,98295.62964388793625,23-dmb_433K_1Bar
