MOF_name,Load [molecules/UC],Load [mol/kg framework],Enthalpy_Ads [KJ/mol],Host_Ads_vdW [K],Host_Ads_Coul [K],Ads_Ads_vdW [K],Ads_Ads_Coul [K],Ave_Heat_Cap [J/mol/K],Total_E [K],Ave_Dens [kg/m3],Fugacity [Pa],Molecule
SR_aca_v1-4c_B_Ch_v2-6c_bicyclooctane_Ch_v3-6c_Zr_1_Ch_1B_4H_Ch_1TrU_Ch_1x1x2,23.9764000000,1.3244103190,-10.23110,-85969.315271,0.00000,-6768.518442,0.00000,2407.75480,-29880.78993,72.17217,98252.41368915069324,22-dmb_433K_1Bar
SR_ahr_v1-6c_Zr_1_Ch_v2-6c_B_Ch_v3-3c_B_Ch_1B_4F_Ch_2x2x1,123.1388000000,2.6331787589,-11.25452,-420978.618209,0.00000,-56974.420443,0.00000,14416.49179,-156264.40203,131.67373,98252.41368915069324,22-dmb_433K_1Bar
SR_albd_v1-4c_Cu_1_Ch_v2-6c_B_Ch_v3-4c_Cu_1_Ch_v4-3c_triazine_Ch_ntn_edge_4B_fused_8H_Ch_2x2x2,17.0234000000,0.6550762262,-29.14426,-86212.426750,0.00000,-7148.942095,0.00000,1809.76613,-48783.45564,69.42454,98252.41368915069324,22-dmb_433K_1Bar
SR_asc_v1-3c_triazine_Ch_v2-6c_Cr_1_Ch_v3-4c_1anC_Ch_1B_2CH3_Ch_2x2x2,63.0738000000,4.1982590323,-39.96599,-296467.097556,0.00000,-55190.036405,0.00000,8723.27131,-185534.46942,233.79677,98252.41368915069324,22-dmb_433K_1Bar
SR_asd_v1-4c_pyrene_Ch_v2-4c_1anC_Ch_v3-8c_Zr_1_Ch_1TrU_Ch_2x2x2,61.7152000000,3.8565036840,-20.67377,-179278.476552,0.00000,-54992.777931,0.00000,11520.07530,-72383.65009,213.26897,98252.41368915069324,22-dmb_433K_1Bar
SR_asv_v1-4c_Cu_1_Ch_v2-4c_bicyclooctane_Ch_1B_2CH3_Ch_ntn_edge_2x2x2,,,,,,,,,,,,22-dmb_433K_1Bar
SR_bch_v1-3c_triazine_Ch_v2-3c_pyrrole_Ch_v3-6c_Zr_1_Ch_ntn_edge_1B_4F_Ch_1x1x1,20.7798000000,1.1233980749,-26.66105,-102681.409790,0.00000,-8671.395676,0.00000,2999.82086,-57505.20578,111.89299,98252.41368915069324,22-dmb_433K_1Bar
SR_bpq_v1-6c_Zr_1_Ch_v2-4c_B_Ch_ntn_edge_2B_2Br_Ch_1x2x1,15.7120000000,0.6338057787,-0.63645,-33958.029795,0.00000,-1831.642533,0.00000,1505.12208,5132.26276,28.42431,98252.41368915069324,22-dmb_433K_1Bar
SR_brk_v1-3c_B_Ch_v2-3c_triazine_Ch_v3-6c_Zn_1_Ch_4B_fused_8H_Ch_1x1x1,59.2718000000,3.9071845180,-5.31357,-152325.608916,0.00000,-19156.301752,0.00000,5354.27203,-15993.11738,72.82658,98252.41368915069324,22-dmb_433K_1Bar
SR_brk_v1-3c_triazine_Ch_v2-3c_triazine_Ch_v3-6c_Zn_1_Ch_1B_2SH_Ch_1x1x1,65.2778000000,5.3014462903,-15.03314,-194330.533143,0.00000,-50234.730235,0.00000,8579.29600,-73832.05120,217.30907,98252.41368915069324,22-dmb_433K_1Bar
SR_buh_v1-4c_1anC_Ch_v2-12c_Zr_1_Ch_v3-12c_Zr_1_Ch_1B_4H_Ch_1TrU_Ch_1x1x1,19.1382000000,1.1958710206,-39.68546,-116614.406874,0.00000,-4287.510437,0.00000,2074.79982,-71025.44003,112.64443,98252.41368915069324,22-dmb_433K_1Bar
SR_cdj_v1-3c_B_Ch_v2-6c_Zr_1_Ch_2B_2F_Ch_1x1x1,29.1212000000,1.1895980273,0.20528,-58103.309612,0.00000,-3533.849905,0.00000,2943.41301,14352.16270,23.40788,98252.41368915069324,22-dmb_433K_1Bar
SR_cdle_v1-4c_B_Ch_v2-4c_1anC_Ch_v3-4c_Cu_1_Ch_1TrU_Ch_2x2x1,29.5763500000,4.1797017851,-19.88745,-356232.893481,0.00000,-86249.882910,0.00000,11201.75953,-132791.64078,225.47493,98252.41368915069324,22-dmb_433K_1Bar
SR_cdm_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_2B_2Br_Ch_1x1x1,55.3846000000,1.8630253773,-6.30419,-136962.618986,0.00000,-20164.862181,0.00000,4576.85052,-11988.89913,91.45506,98252.41368915069324,22-dmb_433K_1Bar
SR_cdme_v1-4c_Cu_1_Ch_v2-4c_B_Ch_v3-4c_bicyclooctane_Ch_v4-4c_B_Ch_1DoU_Ch_1TrU_Ch_1B_4H_Ch_2x2x1,88.9428000000,7.7571496319,-32.93746,-1273347.882075,0.00000,-441239.794533,0.00000,38697.91350,-781629.79966,344.84368,98252.41368915069324,22-dmb_433K_1Bar
SR_cdme_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-4c_bicyclooctane_Ch_v4-4c_Cu_1_Ch_2B_4F_Ch_2x2x1,46.3696000000,1.1213036857,-1.94112,-103364.546670,0.00000,-7249.270468,0.00000,4125.87270,10737.65171,32.82568,98252.41368915069324,22-dmb_433K_1Bar
SR_cdze_v1-4c_bicyclooctane_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-4c_pyrene_Ch_ntn_edge_1B_4CN_Ch_2x3x1,30.4558000000,1.8682805371,-10.19652,-139848.083055,0.00000,-13302.006025,0.00000,2646.59002,-72717.41303,116.70493,98252.41368915069324,22-dmb_433K_1Bar
SR_ceg_v1-3c_B_Ch_v2-6c_Zn_1_Ch_v3-4c_B_Ch_ntn_edge_1B_4Br_Ch_2x2x2,35.4908000000,1.2445809621,-31.52672,-219450.035088,0.00000,-12753.117111,0.00000,3429.88677,-140261.79810,151.51687,98252.41368915069324,22-dmb_433K_1Bar
SR_ceg_v1-3c_triazine_Ch_v2-6c_Zn_1_Ch_v3-4c_B_Ch_ntn_edge_2B_2CN_Ch_1x1x6,52.8718000000,2.0690173181,-30.32896,-239081.435033,0.00000,-41128.652853,0.00000,5727.73844,-141488.60193,153.62839,98252.41368915069324,22-dmb_433K_1Bar
SR_cep_v1-6c_Zn_1_Ch_v2-6c_Zn_1_Ch_v3-3c_pyrrole_Ch_1B_2Br_Ch_2x2x2,170.4912000000,3.4265784356,-22.73139,-635374.691475,0.00000,-147765.234937,0.00000,18281.28954,-337466.06887,255.71336,98252.41368915069324,22-dmb_433K_1Bar
SR_cep_v1-6c_Zr_1_Ch_v2-6c_Zr_1_Ch_v3-3c_pyrrole_Ch_1TrU_Ch_2x2x2,39.8426000000,1.1643168057,-9.83124,-127038.988278,0.00000,-12782.300819,0.00000,3888.64256,-35506.06250,76.71793,98252.41368915069324,22-dmb_433K_1Bar
SR_ceq_v1-6c_Cr_1_Ch_v2-6c_Cr_1_Ch_v3-3c_B_Ch_ntn_edge_1B_2OH_Ch_2x2x2,72.9990000000,3.7906048015,-32.10618,-314467.913278,0.00000,-58033.034981,0.00000,9286.82858,-181854.02498,245.38379,98252.41368915069324,22-dmb_433K_1Bar
SR_ceq_v1-6c_Cr_1_Ch_v2-6c_Cr_1_Ch_v3-3c_pyrrole_Ch_ntn_edge_2B_4H_Ch_2x2x1,16.0555000000,1.5404313182,-32.67889,-183594.832761,0.00000,-11049.586789,0.00000,4083.38113,-109127.35337,128.21542,98252.41368915069324,22-dmb_433K_1Bar
SR_ceq_v1-6c_Cr_1_Ch_v2-6c_bicyclooctane_Ch_v3-3c_triazine_Ch_1B_4H_Ch_2x2x2,179.5374000000,9.0848204477,-23.97436,-567314.838262,0.00000,-217691.813216,0.00000,18434.27079,-314226.90484,329.06783,98252.41368915069324,22-dmb_433K_1Bar
SR_ceq_v1-6c_bicyclooctane_Ch_v2-6c_Cr_1_Ch_v3-3c_triazine_Ch_ntn_edge_1TrU_Ch_2x2x2,55.3320000000,4.3702442337,-45.26573,-296886.624341,0.00000,-58042.384254,0.00000,3816.40536,-209193.51697,331.59099,98252.41368915069324,22-dmb_433K_1Bar
SR_cer_v1-3c_triazine_Ch_v2-6c_bicyclooctane_Ch_v3-6c_Zn_1_Ch_1B_2OH_Ch_ntn_edge_2x2x1,72.3936000000,3.9372271570,-35.94146,-319748.004839,0.00000,-64781.444395,0.00000,8858.04977,-195095.44711,270.39956,98252.41368915069324,22-dmb_433K_1Bar
SR_cet_v1-3c_pyrrole_Ch_v2-6c_Zn_1_Ch_v3-6c_bicyclooctane_Ch_ntn_edge_1TrU_Ch_2x2x1,19.9684000000,1.7695630415,-inf,-141896.384365,0.00000,-6942.241582,0.00000,1209.60885,-96472.31267,149.85344,98252.41368915069324,22-dmb_433K_1Bar
SR_cet_v1-3c_triazine_Ch_v2-6c_Zr_1_Ch_v3-6c_bicyclooctane_Ch_1B_2NH2_Ch_2x2x1,156.9868000000,5.2632972393,-17.41504,-500816.604058,0.00000,-136556.016158,0.00000,18056.37963,-226263.26413,234.23277,98252.41368915069324,22-dmb_433K_1Bar
SR_cev_v1-4c_B_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_1B_2CN_Ch_ntn_edge_2x2x1,25.0244000000,0.8282614917,-36.19365,-184066.159981,0.00000,-5066.368106,0.00000,1950.80550,-122757.78206,95.21827,98252.41368915069324,22-dmb_433K_1Bar
SR_cez_v1-4c_Cu_1_Ch_v2-6c_B_Ch_v3-3c_pyrrole_Ch_ntn_edge_2B_2SH_Ch_2x2x1,110.9436000000,2.9311285195,-35.73884,-531684.738789,0.00000,-95860.975839,0.00000,14340.24478,-335688.01800,218.94064,98252.41368915069324,22-dmb_433K_1Bar
