MOF_name,Load [molecules/UC],Load [mol/kg framework],Enthalpy_Ads [KJ/mol],Host_Ads_vdW [K],Host_Ads_Coul [K],Ads_Ads_vdW [K],Ads_Ads_Coul [K],Ave_Heat_Cap [J/mol/K],Total_E [K],Ave_Dens [kg/m3],Fugacity [Pa],Molecule
OPT_ceq_sym_3_on_1_sym_7_mc_4_1B_2NO2_ntn_edge,611.5750000000,27.5683215125,-4.18160,-272464.443234,0.00000,-45428.602507,-2506.11818,10190.51071,-320399.16392,47.90936,8016139.59684940520674,h2_77K_100Bar
OPT_ceq_sym_3_on_1_sym_7_mc_4_2B_2CF3_2B_2CF3,493.2100000000,52.4035446712,-2.63716,-113740.646282,0.00000,-35332.178502,-1462.78342,18129.97458,-150535.60821,44.94466,8016139.59684940520674,h2_77K_100Bar
OPT_ceq_sym_3_on_1_sym_7_mc_4_ntn_edge_ntn_edge,302.9510000000,21.3171737652,-5.60117,-156194.774830,0.00000,-21752.460012,-1309.73203,4707.45423,-179256.96687,47.33910,8016139.59684940520674,h2_77K_100Bar
OPT_ceq_sym_3_on_2_sym_7_mc_4_1B_2OH_1B_2OH,829.0260000000,55.9491225255,-3.95514,-509547.905953,0.00000,-133496.838566,-6065.05943,80305.33633,-649109.80395,51.70128,8016139.59684940520674,h2_77K_100Bar
OPT_ceq_sym_3_on_2_sym_7_mc_4_2B_2NH2_2B_2NH2,528.9560000000,94.8088899384,-2.39898,-115519.831087,0.00000,-39517.334916,-1600.41429,14876.33473,-156637.58029,47.32177,8016139.59684940520674,h2_77K_100Bar
OPT_csq_sym_5_on_9_sym_8_mc_9_1B_2NH2,575.7430000000,29.4975982339,-2.63050,-228635.529255,0.00000,-38669.016740,-1942.16396,16094.20896,-269246.70995,41.78081,8016139.59684940520674,h2_77K_100Bar
OPT_csq_sym_5_on_9_sym_8_mc_9_2B_2F,1043.3930000000,55.8633929067,-2.34668,-252602.147495,0.00000,-73844.617673,-3284.38142,32334.29428,-329731.14659,43.23844,8016139.59684940520674,h2_77K_100Bar
OPT_csq_sym_8_mc_9_sym_5_on_11_1B_2F,614.9900000000,41.5883668921,-2.17917,-194187.322190,0.00000,-43921.416914,-2106.28232,15934.55375,-240215.02142,44.50397,8016139.59684940520674,h2_77K_100Bar
OPT_csq_sym_8_mc_9_sym_5_on_11_2B_2NH2,1383.1030000000,70.5812710885,-2.08335,-332740.761860,0.00000,-98535.892067,-4389.34932,39136.18279,-435666.00325,43.56483,8016139.59684940520674,h2_77K_100Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_1B_2CN_1B_2CN,968.7795000000,44.3086877788,-2.86569,-289201.232818,0.00000,-72043.390063,-3120.50057,27509.05152,-364365.12345,46.41725,8016139.59684940520674,h2_77K_100Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_1B_4CN_ntn_edge,627.2960000000,27.2172965386,-3.68665,-246408.639753,0.00000,-43621.488475,-2238.45225,20581.36945,-292268.58047,42.97769,8016139.59684940520674,h2_77K_100Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_2B_2NO2_2B_2NO2,307.2395000000,64.0921472379,-2.12656,-116075.573880,0.00000,-40481.607359,-1622.71558,17191.91007,-158179.89682,40.61432,8016139.59684940520674,h2_77K_100Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_ntn_edge_1B_2NH2,569.8420000000,28.1964936154,-3.82896,-213415.401304,0.00000,-43534.483449,-2144.08062,15436.41360,-259093.96537,46.87620,8016139.59684940520674,h2_77K_100Bar
OPT_dag_sym_3_on_1_sym_7_mc_4_1B_2F,279.0355000000,55.1622605323,-3.27360,-157163.732773,0.00000,-43956.792291,-2028.36436,19815.10648,-203148.88943,50.92916,8016139.59684940520674,h2_77K_100Bar
OPT_dag_sym_3_on_1_sym_7_mc_4_2B_2CH3,704.5295000000,95.6231579302,-2.70791,-159443.945020,0.00000,-52372.656666,-2192.86050,25884.23149,-214009.46218,46.90025,8016139.59684940520674,h2_77K_100Bar
OPT_dag_sym_3_on_2_sym_7_mc_4_1B_2CN,271.7420000000,50.5881766015,-3.50807,-88523.313723,0.00000,-21508.531867,-962.60037,9353.09855,-110994.44596,50.40847,8016139.59684940520674,h2_77K_100Bar
