MOF_name,molecule,fugacity,loading
SR_epq_v1-4c_Cu_1_Ch_v2-6c_B_Ch_v3-3c_triazine_Ch_4B_fused_8H_Ch_1x1x1,H2,499640.89963272936,3.3382886737
SR_ffc_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_ntn_edge_1B_2NH2_Ch_2x2x2,H2,499640.89963272936,2.5423528528
SR_ffc_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_triazine_Ch_1B_4CN_Ch_1x1x2,H2,499640.89963272936,2.1145594279
SR_flt_v1-3c_pyrrole_Ch_v2-8c_Zr_1_Ch_1TrU_Ch_1DoU_Ch_2x2x1,H2,499640.89963272936,1.2758520526
SR_fly_v1-6c_Zn_1_Ch_v2-3c_pyrrole_Ch_1DoU_Ch_1TrU_Ch_1B_4H_Ch_1x2x1,H2,499640.89963272936,1.9383379385
SR_fmj_v1-3c_B_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-3c_triazine_Ch_v5-4c_Cu_1_Ch_ntn_edge_4B_fused_8H_Ch_1x1x1,H2,499640.89963272936,2.9238566933
SR_fof_v1-3c_pyrrole_Ch_v2-4c_Cu_1_Ch_1B_2Br_Ch_2x1x1,H2,499640.89963272936,1.4536539623
SR_fog_v1-3c_B_Ch_v2-4c_Cu_1_Ch_2B_4CN_Ch_ntn_edge_1x1x2,H2,499640.89963272936,1.2726932892
SR_frf_v1-3c_pyrrole_Ch_v2-4c_B_Ch_v3-4c_Cu_1_Ch_v4-4c_Cu_1_Ch_ntn_edge_2B_2F_Ch_1x1x1,H2,499640.89963272936,1.947372867
SR_frl_v1-4c_Cu_1_Ch_v2-4c_bicyclooctane_Ch_ntn_edge_1TrU_Ch_1x3x2,H2,499640.89963272936,3.2593919417
SR_fsh_v1-4c_1anC_Ch_v2-6c_Zn_1_Ch_1B_4H_Ch_1TrU_Ch_2x2x1,H2,499640.89963272936,2.2900284391
SR_fsi_v1-4c_bicyclooctane_Ch_v2-4c_bicyclooctane_Ch_v3-6c_Cr_1_Ch_1TrU_Ch_1B_4H_Ch_1x2x1,H2,499640.89963272936,2.5403526384
SR_fsk_v1-6c_Zn_1_Ch_v2-4c_bicyclooctane_Ch_v3-4c_bicyclooctane_Ch_2B_2CH3_Ch_ntn_edge_1x2x1,H2,499640.89963272936,2.740313854
SR_fsk_v1-6c_Zr_1_Ch_v2-4c_1anC_Ch_v3-4c_bicyclooctane_Ch_1TrU_Ch_1x2x2,H2,499640.89963272936,1.5534763291
SR_fsm_v1-6c_Zn_1_Ch_v2-4c_1anC_Ch_v3-4c_1anC_Ch_1B_2CF3_Ch_1x2x2,H2,499640.89963272936,1.1397245346
SR_fsm_v1-6c_Zn_1_Ch_v2-4c_bicyclooctane_Ch_v3-4c_bicyclooctane_Ch_1DoU_Ch_1TrU_Ch_ntn_edge_1x2x2,H2,499640.89963272936,1.8762890166
SR_fsm_v1-6c_Zr_1_Ch_v2-4c_bicyclooctane_Ch_v3-4c_bicyclooctane_Ch_ntn_edge_1DoU_Ch_1TrU_Ch_1x2x2,H2,499640.89963272936,1.3870851675
SR_fsx_v1-5c_bicyclooctane_Ch_v2-6c_Zn_1_Ch_1TrU_Ch_1DoU_Ch_2x2x1,H2,499640.89963272936,1.7157351577
SR_gar_v1-4c_1anC_Ch_v2-6c_Zr_1_Ch_1B_2SH_Ch_1x1x1,H2,499640.89963272936,1.5805298386
SR_gee_v1-4c_Cu_1_Ch_v2-3c_triazine_Ch_v3-4c_Cu_1_Ch_ntn_edge_2x2x2,H2,499640.89963272936,1.4554511167
SR_geo_v1-3c_B_Ch_v2-3c_pyrrole_Ch_v3-4c_Cu_1_Ch_ntn_edge_1DoU_Ch_2x2x2,H2,499640.89963272936,2.0990646519
SR_geo_v1-3c_pyrrole_Ch_v2-3c_triazine_Ch_v3-4c_Cu_1_Ch_1B_2SH_Ch_ntn_edge_1x1x1,H2,499640.89963272936,2.3891265341
SR_geo_v1-3c_triazine_Ch_v2-3c_pyrrole_Ch_v3-4c_Cu_1_Ch_ntn_edge_2B_2CF3_Ch_1x1x1,H2,499640.89963272936,1.151265242
SR_gwg_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2B_4Br_Ch_ntn_edge_4x1x1,H2,499640.89963272936,1.0557652145
SR_hbr_v1-8c_Zr_1_Ch_v2-8c_Zr_1_Ch_1B_2NO2_Ch_1x1x2,H2,499640.89963272936,1.0716203155
SR_hey_v1-4c_Cu_1_Ch_v2-3c_pyrrole_Ch_v3-3c_triazine_Ch_1B_2NO2_Ch_ntn_edge_1x1x1,H2,499640.89963272936,1.1420324536
SR_hof_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2B_2CF3_Ch_1x1x2,H2,499640.89963272936,2.3445016139
SR_htp_v1-6c_B_Ch_v2-6c_Cr_1_Ch_1B_4CN_Ch_2x2x2,H2,499640.89963272936,1.3664684019
SR_hyk_v1-4c_Cu_1_Ch_v2-6c_bicyclooctane_Ch_v3-4c_bicyclooctane_Ch_1B_2Br_Ch_2x2x1,H2,499640.89963272936,1.4909803718
SR_hyl_v1-3c_triazine_Ch_v2-6c_Cr_1_Ch_v3-4c_bicyclooctane_Ch_1B_2Br_Ch_ntn_edge_2x2x1,H2,499640.89963272936,1.8027806625
SR_hyx_v1-3c_triazine_Ch_v2-4c_Cu_1_Ch_v3-4c_B_Ch_1B_2F_Ch_ntn_edge_2x2x1,H2,499640.89963272936,2.1004576593
