MOF_name,Load [molecules/UC],Load [mol/kg framework],Enthalpy_Ads [KJ/mol],Host_Ads_vdW [K],Host_Ads_Coul [K],Ads_Ads_vdW [K],Ads_Ads_Coul [K],Ave_Heat_Cap [J/mol/K],Total_E [K],Ave_Dens [kg/m3],Fugacity [Pa],Molecule
SR_cep_v1-6c_Zn_1_Ch_v2-6c_Zn_1_Ch_v3-3c_pyrrole_Ch_1B_2Br_Ch_2x2x2,187.7100000000,3.7726465538,-26.33933,-721887.845299,0.00000,-189460.180461,0.00000,19538.02703,-374951.28076,281.57481,98295.62964388793625,23-dmb_433K_1Bar
SR_cep_v1-6c_Zr_1_Ch_v2-6c_Zr_1_Ch_v3-3c_pyrrole_Ch_1TrU_Ch_2x2x2,50.0448000000,1.4624548016,-9.00515,-164399.991983,0.00000,-20114.758391,0.00000,4661.80070,-40705.71096,96.37471,98295.62964388793625,23-dmb_433K_1Bar
SR_ceq_v1-6c_Cr_1_Ch_v2-6c_Cr_1_Ch_v3-3c_B_Ch_ntn_edge_1B_2OH_Ch_2x2x2,81.7276000000,4.2438531072,-35.64478,-367821.185554,0.00000,-77034.891354,0.00000,11955.86137,-211579.11660,274.75945,98295.62964388793625,23-dmb_433K_1Bar
SR_ceq_v1-6c_Cr_1_Ch_v2-6c_Cr_1_Ch_v3-3c_pyrrole_Ch_ntn_edge_2B_4H_Ch_2x2x1,22.9663000000,2.2034821577,-39.10497,-286787.743614,0.00000,-27440.811081,0.00000,5532.13430,-183532.07925,183.42663,98295.62964388793625,23-dmb_433K_1Bar
SR_ceq_v1-6c_Cr_1_Ch_v2-6c_bicyclooctane_Ch_v3-3c_triazine_Ch_1B_4H_Ch_2x2x2,188.6600000000,9.5464355931,-25.63018,-604806.566488,0.00000,-251185.674611,0.00000,19558.57842,-312992.69192,345.83207,98295.62964388793625,23-dmb_433K_1Bar
SR_ceq_v1-6c_bicyclooctane_Ch_v2-6c_Cr_1_Ch_v3-3c_triazine_Ch_ntn_edge_1TrU_Ch_2x2x2,54.6504000000,4.3164099521,-37.24179,-295774.016650,0.00000,-58342.079187,0.00000,4275.24175,-194596.75249,327.54776,98295.62964388793625,23-dmb_433K_1Bar
SR_cer_v1-3c_triazine_Ch_v2-6c_bicyclooctane_Ch_v3-6c_Zn_1_Ch_1B_2OH_Ch_ntn_edge_2x2x1,80.7070000000,4.3893630399,-35.06845,-369409.932670,0.00000,-84158.013102,0.00000,8656.70036,-223650.67000,301.48933,98295.62964388793625,23-dmb_433K_1Bar
SR_cet_v1-3c_pyrrole_Ch_v2-6c_Zn_1_Ch_v3-6c_bicyclooctane_Ch_ntn_edge_1TrU_Ch_2x2x1,19.9722000000,1.7698997905,inf,-144494.140167,0.00000,-7266.180036,0.00000,1428.73525,-94918.09482,149.90092,98295.62964388793625,23-dmb_433K_1Bar
SR_cet_v1-3c_triazine_Ch_v2-6c_Zr_1_Ch_v3-6c_bicyclooctane_Ch_1B_2NH2_Ch_2x2x1,172.8796000000,5.7961352255,-16.81942,-561347.290447,0.00000,-174367.045868,0.00000,19190.11226,-242136.85945,257.97831,98295.62964388793625,23-dmb_433K_1Bar
SR_cev_v1-4c_B_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_1B_2CN_Ch_ntn_edge_2x2x1,25.2774000000,0.8366353251,-38.75221,-188578.860197,0.00000,-6192.998620,0.00000,3054.93825,-122258.74296,96.19311,98295.62964388793625,23-dmb_433K_1Bar
SR_cez_v1-4c_Cu_1_Ch_v2-6c_B_Ch_v3-3c_pyrrole_Ch_ntn_edge_2B_2SH_Ch_2x2x1,119.8492000000,3.1664143598,-45.52315,-603563.285728,0.00000,-114851.008521,0.00000,19077.00708,-376301.22033,236.54524,98295.62964388793625,23-dmb_433K_1Bar
SR_cut_v1-8c_Zr_1_Ch_v2-3c_B_Ch_2B_2CF3_Ch_ntn_edge_2x2x2,85.3642000000,2.1931607928,-7.19503,-286441.885649,0.00000,-32650.093814,0.00000,9622.50299,-75544.28813,98.11727,98295.62964388793625,23-dmb_433K_1Bar
SR_dnr_v1-4c_pyrene_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1B_2F_Ch_ntn_edge_1x1x3,70.6024000000,5.0508676012,-12.55230,-251259.824228,0.00000,-56473.706892,0.00000,7911.88346,-106823.99807,168.03284,98295.62964388793625,23-dmb_433K_1Bar
SR_edq_v1-3c_B_Ch_v2-6c_Cr_1_Ch_2B_2NH2_Ch_1x1x1,63.5370000000,3.5248331046,-5.97842,-171770.794808,0.00000,-22337.146122,0.00000,7108.54904,-11194.82961,66.54991,98295.62964388793625,23-dmb_433K_1Bar
SR_epc_v1-6c_bicyclooctane_Ch_v2-4c_1anC_Ch_v3-4c_Cu_1_Ch_2B_2CH3_Ch_1x1x1,68.9766000000,5.2033295351,-11.22640,-231886.428187,0.00000,-43547.740533,0.00000,8718.32099,-77134.37540,151.79231,98295.62964388793625,23-dmb_433K_1Bar
SR_epq_v1-4c_Cu_1_Ch_v2-6c_B_Ch_v3-3c_B_Ch_2B_4CN_Ch_1x1x1,29.4724000000,0.9673750758,-2.77684,-85013.264474,0.00000,-4844.771608,0.00000,3549.63478,-5631.49650,35.74718,98295.62964388793625,23-dmb_433K_1Bar
SR_epq_v1-4c_Cu_1_Ch_v2-6c_B_Ch_v3-3c_triazine_Ch_4B_fused_8H_Ch_1x1x1,,,,,,,,,,,,23-dmb_433K_1Bar
SR_ffc_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_ntn_edge_1B_2NH2_Ch_2x2x2,96.0902000000,5.8342633972,-13.69035,-331334.482106,0.00000,-70492.946723,0.00000,14157.26362,-125234.73577,209.29700,98295.62964388793625,23-dmb_433K_1Bar
SR_ffc_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_triazine_Ch_1B_4CN_Ch_1x1x2,10.2360000000,1.5345360017,-3.96043,-25507.358729,0.00000,-3106.899819,0.00000,889.52783,670.46143,47.49391,98295.62964388793625,23-dmb_433K_1Bar
SR_flt_v1-3c_pyrrole_Ch_v2-8c_Zr_1_Ch_1TrU_Ch_1DoU_Ch_2x2x1,38.6264000000,2.8876625927,-24.67227,-297025.555076,0.00000,-59126.290506,0.00000,11462.37291,-133832.39451,211.89694,98295.62964388793625,23-dmb_433K_1Bar
SR_fly_v1-6c_Zn_1_Ch_v2-3c_pyrrole_Ch_1DoU_Ch_1TrU_Ch_1B_4H_Ch_1x2x1,35.3591500000,5.0565676387,-23.38087,-436386.307327,0.00000,-142525.907111,0.00000,19519.81994,-173217.70081,256.01813,98295.62964388793625,23-dmb_433K_1Bar
SR_fmj_v1-3c_B_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-3c_triazine_Ch_v5-4c_Cu_1_Ch_ntn_edge_4B_fused_8H_Ch_1x1x1,80.6158000000,7.1529943531,-8.94765,-227633.552127,0.00000,-59832.825021,0.00000,7039.53469,-55890.82128,177.04373,98295.62964388793625,23-dmb_433K_1Bar
SR_fof_v1-3c_pyrrole_Ch_v2-4c_Cu_1_Ch_1B_2Br_Ch_2x1x1,93.9934000000,3.2622364019,-26.84094,-354773.456193,0.00000,-91025.081955,0.00000,13376.29355,-175473.37735,254.21582,98295.62964388793625,23-dmb_433K_1Bar
SR_fog_v1-3c_B_Ch_v2-4c_Cu_1_Ch_2B_4CN_Ch_ntn_edge_1x1x2,31.5296000000,2.1744024672,-22.51573,-113360.987370,0.00000,-24123.889305,0.00000,4729.37355,-46673.07514,162.08975,98295.62964388793625,23-dmb_433K_1Bar
SR_frf_v1-3c_pyrrole_Ch_v2-4c_B_Ch_v3-4c_Cu_1_Ch_v4-4c_Cu_1_Ch_ntn_edge_2B_2F_Ch_1x1x1,42.8372000000,3.2101283735,-11.05720,-335929.516320,0.00000,-48881.766304,0.00000,9075.79226,-139330.86354,161.54926,98295.62964388793625,23-dmb_433K_1Bar
SR_frl_v1-4c_Cu_1_Ch_v2-4c_bicyclooctane_Ch_ntn_edge_1TrU_Ch_1x3x2,52.1240000000,5.1238817013,-31.44969,-292366.279402,0.00000,-53502.215444,0.00000,4398.59359,-196304.46390,311.39545,98295.62964388793625,23-dmb_433K_1Bar
SR_fsh_v1-4c_1anC_Ch_v2-6c_Zn_1_Ch_1B_4H_Ch_1TrU_Ch_2x2x1,61.1218000000,4.8680367353,-32.48440,-300553.011654,0.00000,-66140.974824,0.00000,4124.65704,-191649.28899,305.84230,98295.62964388793625,23-dmb_433K_1Bar
