MOF_name,Load [molecules/UC],Load [mol/kg framework],Enthalpy_Ads [KJ/mol],Host_Ads_vdW [K],Host_Ads_Coul [K],Ads_Ads_vdW [K],Ads_Ads_Coul [K],Ave_Heat_Cap [J/mol/K],Total_E [K],Ave_Dens [kg/m3],Fugacity [Pa],Molecule
SR_aca_v1-4c_B_Ch_v2-6c_bicyclooctane_Ch_v3-6c_Zr_1_Ch_1B_4H_Ch_1TrU_Ch_1x1x2,28.5710000000,1.5782072047,-4.57523,-10850.751990,-3021.73214,-88.415062,0.95144,1609.73751,-13959.94775,2.01212,499640.89963272935711,h2_160K_5Bar
SR_ahr_v1-6c_Zr_1_Ch_v2-6c_B_Ch_v3-3c_B_Ch_1B_4F_Ch_2x2x1,80.3375000000,1.7179231773,-4.53865,-29585.496928,-2397.80828,-241.943106,-3.72984,4493.57447,-32228.97815,2.00986,499640.89963272935711,h2_160K_5Bar
SR_albd_v1-4c_Cu_1_Ch_v2-6c_B_Ch_v3-4c_Cu_1_Ch_v4-3c_triazine_Ch_ntn_edge_4B_fused_8H_Ch_2x2x2,32.6900000000,1.2579415295,-6.45726,-22738.317004,-2209.53243,-136.843631,-2.69137,2702.77279,-25087.38444,3.11906,499640.89963272935711,h2_160K_5Bar
SR_asc_v1-3c_triazine_Ch_v2-6c_Cr_1_Ch_v3-4c_1anC_Ch_1B_2CH3_Ch_2x2x2,36.4315000000,2.4249192840,-5.52356,-18692.064236,-976.07224,-144.456430,-3.93776,2990.89696,-19816.53067,3.15943,499640.89963272935711,h2_160K_5Bar
SR_asd_v1-4c_pyrene_Ch_v2-4c_1anC_Ch_v3-8c_Zr_1_Ch_1TrU_Ch_2x2x2,32.2035000000,2.0123554066,-4.85282,-14876.902040,-1451.04185,-91.606073,-6.49933,1916.94085,-16426.04930,2.60364,499640.89963272935711,h2_160K_5Bar
SR_asv_v1-4c_Cu_1_Ch_v2-4c_bicyclooctane_Ch_1B_2CH3_Ch_ntn_edge_2x2x2,58.1140000000,3.2423940471,-4.84039,-32850.175579,-1500.16122,-227.311878,-8.13062,3855.07810,-34585.77930,3.05489,499640.89963272935711,h2_160K_5Bar
SR_bch_v1-3c_triazine_Ch_v2-3c_pyrrole_Ch_v3-6c_Zr_1_Ch_ntn_edge_1B_4F_Ch_1x1x1,25.5415000000,1.3808252212,-6.73466,-14292.849186,-2848.97935,-101.632743,-5.57395,3319.61004,-17249.03523,3.21774,499640.89963272935711,h2_160K_5Bar
SR_bpq_v1-6c_Zr_1_Ch_v2-4c_B_Ch_ntn_edge_2B_2Br_Ch_1x2x1,31.3030000000,1.2627305430,-3.57607,-8126.632875,-1472.60033,-64.870481,-0.32480,1039.92804,-9664.42848,1.32491,499640.89963272935711,h2_160K_5Bar
SR_brk_v1-3c_B_Ch_v2-3c_triazine_Ch_v3-6c_Zn_1_Ch_4B_fused_8H_Ch_1x1x1,50.4565000000,3.3260818067,-3.31814,-11511.168737,-246.50442,-102.010140,-2.63830,1365.44475,-11862.32160,1.45045,499640.89963272935711,h2_160K_5Bar
SR_brk_v1-3c_triazine_Ch_v2-3c_triazine_Ch_v3-6c_Zn_1_Ch_1B_2SH_Ch_1x1x1,26.5315000000,2.1547190967,-3.89716,-8999.377990,-554.51101,-79.478408,-0.31810,974.55700,-9633.68551,2.06641,499640.89963272935711,h2_160K_5Bar
SR_buh_v1-4c_1anC_Ch_v2-12c_Zr_1_Ch_v3-12c_Zr_1_Ch_1B_4H_Ch_1TrU_Ch_1x1x1,35.4150000000,2.2129443833,-6.42914,-23098.826998,-1383.54026,-203.820939,-5.81818,2575.31873,-24692.00638,4.87684,499640.89963272935711,h2_160K_5Bar
SR_cdj_v1-3c_B_Ch_v2-6c_Zr_1_Ch_2B_2F_Ch_1x1x1,64.8685000000,2.6498715588,-3.15891,-11341.600589,-1426.75580,-114.548113,-2.52837,1709.14845,-12885.43287,1.21991,499640.89963272935711,h2_160K_5Bar
SR_cdle_v1-4c_B_Ch_v2-4c_1anC_Ch_v3-4c_Cu_1_Ch_1TrU_Ch_2x2x1,12.2173750000,1.7265478701,-4.18505,-15794.229224,-1059.69599,-136.531085,-5.27735,2060.15483,-16995.73364,2.17908,499640.89963272935711,h2_160K_5Bar
SR_cdm_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_2B_2Br_Ch_1x1x1,40.5895000000,1.3653482837,-3.41543,-10686.713397,-378.62565,-90.752304,-2.59898,1017.24759,-11158.69033,1.56810,499640.89963272935711,h2_160K_5Bar
SR_cdme_v1-4c_Cu_1_Ch_v2-4c_B_Ch_v3-4c_bicyclooctane_Ch_v4-4c_B_Ch_1DoU_Ch_1TrU_Ch_1B_4H_Ch_2x2x1,27.1812500000,2.3706137364,-4.54937,-39106.257774,-3038.95851,-357.070009,-7.67487,6635.46397,-42509.96116,2.46560,499640.89963272935711,h2_160K_5Bar
SR_cdme_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-4c_bicyclooctane_Ch_v4-4c_Cu_1_Ch_2B_4F_Ch_2x2x1,79.7445000000,1.9283712123,-3.12963,-17032.110709,-1486.28360,-139.841776,-3.50931,1736.87636,-18661.74540,1.32076,499640.89963272935711,h2_160K_5Bar
SR_cdze_v1-4c_bicyclooctane_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-4c_pyrene_Ch_ntn_edge_1B_4CN_Ch_2x3x1,27.7745000000,1.7037988750,-5.39782,-13405.612714,-2019.52002,-108.705353,0.23955,2005.29853,-15533.59854,2.49005,499640.89963272935711,h2_160K_5Bar
SR_ceg_v1-3c_B_Ch_v2-6c_Zn_1_Ch_v3-4c_B_Ch_ntn_edge_1B_4Br_Ch_2x2x2,41.2395000000,1.4461746871,-6.34328,-25739.753073,-463.07442,-243.551641,-9.42129,3768.89801,-26455.80043,4.11909,499640.89963272935711,h2_160K_5Bar
SR_ceg_v1-3c_triazine_Ch_v2-6c_Zn_1_Ch_v3-4c_B_Ch_ntn_edge_2B_2CN_Ch_1x1x6,51.2940000000,2.0072737133,-5.87136,-31422.933814,-4837.15082,-232.507998,0.54236,3249.77331,-36492.05027,3.48704,499640.89963272935711,h2_160K_5Bar
SR_cep_v1-6c_Zn_1_Ch_v2-6c_Zn_1_Ch_v3-3c_pyrrole_Ch_1B_2Br_Ch_2x2x2,72.9825000000,1.4668221039,-4.64794,-30417.068355,-768.77782,-229.907679,-8.36449,3368.88576,-31424.11835,2.56102,499640.89963272935711,h2_160K_5Bar
SR_cep_v1-6c_Zr_1_Ch_v2-6c_Zr_1_Ch_v3-3c_pyrrole_Ch_1TrU_Ch_2x2x2,42.2725000000,1.2353255603,-4.84326,-13634.016567,-3887.85436,-119.946376,-0.43109,3443.58637,-17642.24839,1.90436,499640.89963272935711,h2_160K_5Bar
SR_ceq_v1-6c_Cr_1_Ch_v2-6c_Cr_1_Ch_v3-3c_B_Ch_ntn_edge_1B_2OH_Ch_2x2x2,42.1395000000,2.1881695781,-5.49061,-18400.423541,-2835.42955,-189.693953,-5.26125,3406.86250,-21430.80830,3.31406,499640.89963272935711,h2_160K_5Bar
SR_ceq_v1-6c_Cr_1_Ch_v2-6c_Cr_1_Ch_v3-3c_pyrrole_Ch_ntn_edge_2B_4H_Ch_2x2x1,23.0475000000,2.2112728228,-6.32672,-27843.924865,-4601.36207,-273.490303,-11.54132,4094.18555,-32730.31856,4.30609,499640.89963272935711,h2_160K_5Bar
SR_ceq_v1-6c_Cr_1_Ch_v2-6c_bicyclooctane_Ch_v3-3c_triazine_Ch_1B_4H_Ch_2x2x2,51.2120000000,2.5913922379,-4.20756,-18688.050912,-728.35679,-133.656032,-1.97174,2594.38800,-19552.03547,2.19606,499640.89963272935711,h2_160K_5Bar
SR_ceq_v1-6c_bicyclooctane_Ch_v2-6c_Cr_1_Ch_v3-3c_triazine_Ch_ntn_edge_1TrU_Ch_2x2x2,29.1485000000,2.3022132590,-6.04165,-13098.910757,-3507.81121,-161.036376,-6.83429,2409.95185,-16774.59263,4.08682,499640.89963272935711,h2_160K_5Bar
SR_cer_v1-3c_triazine_Ch_v2-6c_bicyclooctane_Ch_v3-6c_Zn_1_Ch_1B_2OH_Ch_ntn_edge_2x2x1,32.1315000000,1.7475165539,-5.15824,-13213.494546,-1448.34722,-124.816494,-4.76292,2680.73850,-14791.42118,2.80789,499640.89963272935711,h2_160K_5Bar
SR_cet_v1-3c_pyrrole_Ch_v2-6c_Zn_1_Ch_v3-6c_bicyclooctane_Ch_ntn_edge_1TrU_Ch_2x2x1,28.3015000000,2.5080271037,-6.95280,-19228.143862,-1097.18133,-166.886991,-5.33324,2216.22304,-20497.54542,4.96907,499640.89963272935711,h2_160K_5Bar
SR_cet_v1-3c_triazine_Ch_v2-6c_Zr_1_Ch_v3-6c_bicyclooctane_Ch_1B_2NH2_Ch_2x2x1,65.5185000000,2.1966390816,-5.14291,-25680.893522,-4900.63317,-200.610785,-2.18510,7288.80280,-30784.32258,2.28713,499640.89963272935711,h2_160K_5Bar
SR_cev_v1-4c_B_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_1B_2CN_Ch_ntn_edge_2x2x1,49.6085000000,1.6419498653,-8.05682,-40760.458592,-7034.60904,-214.980058,-14.31241,5247.30647,-48024.36009,4.41627,499640.89963272935711,h2_160K_5Bar
