MOF_name,Load [molecules/UC],Load [mol/kg framework],Enthalpy_Ads [KJ/mol],Host_Ads_vdW [K],Host_Ads_Coul [K],Ads_Ads_vdW [K],Ads_Ads_Coul [K],Ave_Heat_Cap [J/mol/K],Total_E [K],Ave_Dens [kg/m3],Fugacity [Pa],Molecule
OPT_acs_sym_7_mc_4_1B_2Br,26.2865000000,1.4440502273,-5.96702,-12578.471847,-1300.05179,-114.621405,-7.22631,2061.78192,-14000.37135,3.16880,499640.89963272935711,h2_160K_5Bar
OPT_acs_sym_7_mc_4_2B_2CH3,37.2880000000,2.1966337191,-4.17165,-12439.888236,-929.98061,-92.357319,-1.86184,1864.69214,-13464.08801,1.86116,499640.89963272935711,h2_160K_5Bar
OPT_act_sym_6_mc_3_sym_3_on_2_1B_2CH3_1B_2CH3,64.3495000000,2.5979612126,-4.33635,-23000.605681,-699.73489,-190.228484,-5.68456,3413.40743,-23896.25362,2.20207,499640.89963272935711,h2_160K_5Bar
OPT_act_sym_6_mc_3_sym_3_on_2_1B_2SH_1B_2SH,68.7690000000,2.3633265318,-4.57299,-25046.250863,-1519.94721,-214.641302,-4.88669,3272.20522,-26785.72607,2.35166,499640.89963272935711,h2_160K_5Bar
OPT_act_sym_6_mc_3_sym_3_on_2_ntn_edge_1B_4Br,28.3645000000,1.3088336320,-7.99728,-22678.102876,-1071.24279,-154.188767,-7.74897,2166.01523,-23911.28341,4.68077,499640.89963272935711,h2_160K_5Bar
OPT_apo_sym_6_mc_3_sym_3_on_1_1B_4F,20.2775000000,1.5980181290,-3.79855,-5974.388608,-452.92857,-49.853616,-1.07777,759.60381,-6478.24856,1.72462,499640.89963272935711,h2_160K_5Bar
OPT_apo_sym_6_mc_3_sym_3_on_2_1B_2CF3,24.7975000000,1.5779138953,-4.48447,-9088.360793,-513.27801,-79.303007,-0.43161,1309.43159,-9681.37341,2.08645,499640.89963272935711,h2_160K_5Bar
OPT_apo_sym_6_mc_3_sym_3_on_2_2B_2CF3,23.3875000000,1.8062778436,-3.51836,-6477.728714,-285.59559,-48.336278,-1.29465,701.88824,-6812.95523,1.45323,499640.89963272935711,h2_160K_5Bar
OPT_bcu_sym_8_mc_9_1B_2CH3,35.4545000000,1.3952897160,-7.90619,-23128.954541,-2767.35814,-176.522047,-2.43318,6749.97758,-26075.26791,3.78506,499640.89963272935711,h2_160K_5Bar
OPT_bcu_sym_8_mc_9_2B_2OH,50.0680000000,1.5367365445,-5.40695,-20411.325974,-3142.61473,-181.397044,-4.93296,4225.92111,-23740.27071,2.54560,499640.89963272935711,h2_160K_5Bar
OPT_ceq_sym_3_on_1_sym_7_mc_4_1B_2NH2_ntn_edge,40.9675000000,2.1220509646,-5.11301,-17200.961124,-2722.53036,-176.261979,-3.09222,2616.97862,-20102.84568,3.22756,499640.89963272935711,h2_160K_5Bar
OPT_ceq_sym_3_on_1_sym_7_mc_4_2B_2Br_2B_2Br,17.3510000000,1.7016800517,-3.56944,-4802.769378,-196.70858,-33.775558,-0.05024,535.52362,-5033.30376,1.56524,499640.89963272935711,h2_160K_5Bar
OPT_ceq_sym_3_on_1_sym_7_mc_4_2B_4F_2B_4F,14.8000000000,2.0825892541,-3.28924,-3390.964178,-259.18014,-25.734642,-1.33484,459.20662,-3677.21380,1.32553,499640.89963272935711,h2_160K_5Bar
OPT_ceq_sym_3_on_2_sym_7_mc_4_1B_2NO2_ntn_edge,44.7990000000,2.0324656617,-5.53207,-20681.985550,-3525.16723,-206.986369,-3.50309,3059.58814,-24417.64224,3.42223,499640.89963272935711,h2_160K_5Bar
OPT_ceq_sym_3_on_2_sym_7_mc_4_2B_2F_2B_2F,15.2895000000,2.6391054353,-3.02281,-3281.381203,-390.01928,-26.179847,-0.63946,351.95551,-3698.21979,1.34772,499640.89963272935711,h2_160K_5Bar
OPT_csq_sym_5_on_9_sym_8_mc_9_1B_2CN,34.7190000000,1.6566336925,-5.67749,-19513.219987,-2363.16892,-129.400108,-4.83235,3606.82111,-22010.62137,2.50170,499640.89963272935711,h2_160K_5Bar
OPT_csq_sym_5_on_9_sym_8_mc_9_2B_2CH3,43.8330000000,2.4465127876,-4.12547,-17634.410767,-1005.35651,-113.282803,0.86420,2112.19056,-18752.18588,1.83296,499640.89963272935711,h2_160K_5Bar
OPT_csq_sym_8_mc_9_sym_5_on_11_1B_2CN,33.1560000000,2.1444404255,-4.90136,-15075.491770,-1439.64352,-116.626557,-3.47113,1884.28429,-16635.23298,2.42787,499640.89963272935711,h2_160K_5Bar
OPT_csq_sym_8_mc_9_sym_5_on_11_2B_2F,47.7785000000,2.3691133323,-3.58372,-12628.167005,-799.03054,-105.563795,-1.83455,1793.50670,-13534.59589,1.48140,499640.89963272935711,h2_160K_5Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_1B_2CH3_ntn_edge,39.3595000000,2.1343853054,-5.22851,-20055.489514,-1093.96798,-169.594282,-2.66252,2445.55361,-21321.71429,2.73732,499640.89963272935711,h2_160K_5Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_1B_4Br_ntn_edge,42.9770000000,1.1665049457,-5.77517,-24686.036794,-628.35390,-179.969850,-6.11176,3779.63404,-25500.47230,2.95788,499640.89963272935711,h2_160K_5Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_2B_2NH2_2B_2NH2,20.7585000000,2.8876184072,-3.43735,-4832.904327,-299.89223,-33.800748,-1.73056,732.15161,-5168.32786,1.37449,499640.89963272935711,h2_160K_5Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_ntn_edge_1B_2F,28.2305000000,1.3870767134,-5.15694,-12049.214433,-884.70230,-80.349221,-1.09989,2259.00387,-13015.36584,2.30867,499640.89963272935711,h2_160K_5Bar
OPT_dag_sym_3_on_1_sym_7_mc_4_1B_2CH3,12.6630000000,2.6011748933,-4.55379,-5254.838885,-401.49344,-39.505629,0.51731,577.12447,-5695.32065,2.36375,499640.89963272935711,h2_160K_5Bar
OPT_dag_sym_3_on_1_sym_7_mc_4_2B_2CF3,21.7815000000,1.7357126907,-3.65103,-6197.231502,-391.36654,-38.786190,-1.39857,883.18542,-6628.78280,1.45728,499640.89963272935711,h2_160K_5Bar
OPT_dag_sym_3_on_2_sym_7_mc_4_1B_2CH3,12.4955000000,2.5793315882,-4.35741,-5196.416991,-361.13873,-40.470231,0.34272,594.08776,-5597.68323,2.33865,499640.89963272935711,h2_160K_5Bar
OPT_dag_sym_3_on_2_sym_7_mc_4_2B_2F,21.4990000000,2.7831908051,-3.09874,-4814.902373,-615.65875,-41.033939,-1.50234,510.95571,-5473.09740,1.40655,499640.89963272935711,h2_160K_5Bar
