MOF_name,molecule,fugacity,loading
OPT_acs_sym_7_mc_4_1B_2Br,H2,8016139.596849405,22.4984580078
OPT_acs_sym_7_mc_4_2B_2CH3,H2,8016139.596849405,58.911851257
OPT_act_sym_6_mc_3_sym_3_on_2_1B_2CH3_1B_2CH3,H2,8016139.596849405,63.8116917904
OPT_act_sym_6_mc_3_sym_3_on_2_1B_2SH_1B_2SH,H2,8016139.596849405,54.1723076069
OPT_act_sym_6_mc_3_sym_3_on_2_ntn_edge_1B_4Br,H2,8016139.596849405,8.4658318953
OPT_apo_sym_6_mc_3_sym_3_on_1_1B_4F,H2,8016139.596849405,47.4794808656
OPT_apo_sym_6_mc_3_sym_3_on_2_1B_2CF3,H2,8016139.596849405,37.7938296461
OPT_apo_sym_6_mc_3_sym_3_on_2_2B_2CF3,H2,8016139.596849405,56.70611864
OPT_bcu_sym_8_mc_9_1B_2CH3,H2,8016139.596849405,12.8990853626
OPT_bcu_sym_8_mc_9_2B_2OH,H2,8016139.596849405,29.6208669935
OPT_ceq_sym_3_on_1_sym_7_mc_4_1B_2NH2_ntn_edge,H2,8016139.596849405,33.6883069024
OPT_ceq_sym_3_on_1_sym_7_mc_4_2B_2Br_2B_2Br,H2,8016139.596849405,52.1741321741
OPT_ceq_sym_3_on_1_sym_7_mc_4_2B_4F_2B_4F,H2,8016139.596849405,70.6411460672
OPT_ceq_sym_3_on_2_sym_7_mc_4_1B_2NO2_ntn_edge,H2,8016139.596849405,28.0082742081
OPT_ceq_sym_3_on_2_sym_7_mc_4_2B_2F_2B_2F,H2,8016139.596849405,90.3703957431
OPT_csq_sym_5_on_9_sym_8_mc_9_1B_2CN,H2,8016139.596849405,25.9196204206
OPT_csq_sym_5_on_9_sym_8_mc_9_2B_2CH3,H2,8016139.596849405,56.4880284355
OPT_csq_sym_8_mc_9_sym_5_on_11_1B_2CN,H2,8016139.596849405,37.8115114208
OPT_csq_sym_8_mc_9_sym_5_on_11_2B_2F,H2,8016139.596849405,69.2420148925
OPT_cut_sym_8_mc_9_sym_3_on_2_1B_2CH3_ntn_edge,H2,8016139.596849405,37.4581787684
OPT_cut_sym_8_mc_9_sym_3_on_2_1B_4Br_ntn_edge,H2,8016139.596849405,18.1484115828
OPT_cut_sym_8_mc_9_sym_3_on_2_2B_2NH2_2B_2NH2,H2,8016139.596849405,90.7158847149
OPT_cut_sym_8_mc_9_sym_3_on_2_ntn_edge_1B_2F,H2,8016139.596849405,28.284833209
OPT_dag_sym_3_on_1_sym_7_mc_4_1B_2CH3,H2,8016139.596849405,56.9741111107
OPT_dag_sym_3_on_1_sym_7_mc_4_2B_2CF3,H2,8016139.596849405,52.5691883649
OPT_dag_sym_3_on_2_sym_7_mc_4_1B_2CH3,H2,8016139.596849405,55.8074218609
OPT_dag_sym_3_on_2_sym_7_mc_4_2B_2F,H2,8016139.596849405,90.4375837996
OPT_ddi_sym_8_mc_9_1B_2CF3,H2,8016139.596849405,8.9637280823
OPT_edq_sym_3_on_1_sym_7_mc_4_1B_2Br_1B_2Br,H2,8016139.596849405,37.5671748659
OPT_edq_sym_3_on_1_sym_7_mc_4_1B_2OH_1B_2OH,H2,8016139.596849405,61.4420623425
OPT_edq_sym_3_on_1_sym_7_mc_4_2B_2CF3_2B_2CF3,H2,8016139.596849405,58.2921079778
OPT_edq_sym_3_on_1_sym_7_mc_4_ntn_edge_1B_2F,H2,8016139.596849405,21.0643966518
OPT_edq_sym_3_on_2_sym_7_mc_4_1B_2CN_ntn_edge,H2,8016139.596849405,43.0065418051
OPT_edq_sym_3_on_2_sym_7_mc_4_1B_4Br_1B_4Br,H2,8016139.596849405,24.3136181856
