MOF_name,Load [molecules/UC],Load [mol/kg framework],Enthalpy_Ads [KJ/mol],Host_Ads_vdW [K],Host_Ads_Coul [K],Ads_Ads_vdW [K],Ads_Ads_Coul [K],Ave_Heat_Cap [J/mol/K],Total_E [K],Ave_Dens [kg/m3],Fugacity [Pa],Molecule
OPT_acs_sym_7_mc_4_1B_2Br,55.6426000000,3.0567290883,-34.59368,-256893.374381,0.00000,-53123.355537,0.00000,5565.16283,-164670.90773,286.69983,98252.41368915069324,22-dmb_433K_1Bar
OPT_acs_sym_7_mc_4_2B_2CH3,100.8418000000,5.9405840531,-18.12699,-289975.798576,0.00000,-79088.680881,0.00000,19770.81197,-105568.26602,215.13630,98252.41368915069324,22-dmb_433K_1Bar
OPT_act_sym_6_mc_3_sym_3_on_2_1B_2CH3_1B_2CH3,186.6672000000,7.5362535102,-22.07514,-567085.289000,0.00000,-186775.082259,0.00000,26166.95691,-265559.82617,273.03098,98252.41368915069324,22-dmb_433K_1Bar
OPT_act_sym_6_mc_3_sym_3_on_2_1B_2SH_1B_2SH,195.4120000000,6.7155602702,-25.77511,-610348.514544,0.00000,-204309.289135,0.00000,31992.88241,-302919.27324,285.62182,98252.41368915069324,22-dmb_433K_1Bar
OPT_act_sym_6_mc_3_sym_3_on_2_ntn_edge_1B_4Br,12.8212000000,0.5916133816,-30.33054,-100181.651725,0.00000,-3114.112838,0.00000,936.60830,-69221.65172,90.43324,98252.41368915069324,22-dmb_433K_1Bar
OPT_apo_sym_6_mc_3_sym_3_on_1_1B_4F,46.2182000000,3.6423386260,-12.08959,-120694.947046,0.00000,-29269.866493,0.00000,6385.94681,-28512.74919,168.01518,98252.41368915069324,22-dmb_433K_1Bar
OPT_apo_sym_6_mc_3_sym_3_on_2_1B_2CF3,53.3160000000,3.3926023689,-16.91360,-179451.962007,0.00000,-35094.463130,0.00000,8580.63678,-74586.57871,191.74089,98252.41368915069324,22-dmb_433K_1Bar
OPT_apo_sym_6_mc_3_sym_3_on_2_2B_2CF3,18.0476000000,1.3938633890,-4.79897,-48225.741174,0.00000,-3116.492005,0.00000,1689.61916,-4291.83671,47.93208,98252.41368915069324,22-dmb_433K_1Bar
OPT_bcu_sym_8_mc_9_1B_2CH3,,,,,,,,,,,,22-dmb_433K_1Bar
OPT_bcu_sym_8_mc_9_2B_2OH,108.5868000000,3.3328533956,-24.09680,-406827.219440,0.00000,-90647.104339,0.00000,11187.95581,-211683.47039,235.97402,98252.41368915069324,22-dmb_433K_1Bar
OPT_ceq_sym_3_on_1_sym_7_mc_4_1B_2NH2_ntn_edge,81.8970000000,4.2421335900,-35.24087,-364771.729943,0.00000,-74353.908759,0.00000,8791.53567,-223949.16627,275.77854,98252.41368915069324,22-dmb_433K_1Bar
OPT_ceq_sym_3_on_1_sym_7_mc_4_2B_2Br_2B_2Br,16.6316000000,1.6311256958,-5.72181,-44360.131674,0.00000,-4044.550423,0.00000,1534.27550,-4671.30973,64.12815,98252.41368915069324,22-dmb_433K_1Bar
OPT_ceq_sym_3_on_1_sym_7_mc_4_2B_4F_2B_4F,8.9828000000,1.2640191048,-2.14532,-20594.553967,0.00000,-1318.401233,0.00000,788.60113,1284.51690,34.38718,98252.41368915069324,22-dmb_433K_1Bar
OPT_ceq_sym_3_on_2_sym_7_mc_4_1B_2NO2_ntn_edge,65.6608000000,2.9789352735,-32.04640,-298845.138978,0.00000,-43982.700325,0.00000,7808.80889,-170701.21974,214.39004,98252.41368915069324,22-dmb_433K_1Bar
OPT_ceq_sym_3_on_2_sym_7_mc_4_2B_2F_2B_2F,11.6506000000,2.0109985143,-2.85294,-28335.500649,0.00000,-2173.827233,0.00000,1036.61760,-436.29365,43.89483,98252.41368915069324,22-dmb_433K_1Bar
OPT_csq_sym_5_on_9_sym_8_mc_9_1B_2CN,22.0104000000,1.0502367645,-8.41421,-101691.107979,0.00000,-8851.984422,0.00000,2438.35374,-52481.50313,67.78802,98252.41368915069324,22-dmb_433K_1Bar
OPT_csq_sym_5_on_9_sym_8_mc_9_2B_2CH3,58.0300000000,3.2389098867,-9.60757,-199041.113087,0.00000,-33216.149572,0.00000,5505.54785,-80449.90759,103.71976,98252.41368915069324,22-dmb_433K_1Bar
OPT_csq_sym_8_mc_9_sym_5_on_11_1B_2CN,47.1112000000,3.0470250263,-15.81919,-205112.972482,0.00000,-29409.460859,0.00000,5657.52447,-109985.21453,147.45006,98252.41368915069324,22-dmb_433K_1Bar
OPT_csq_sym_8_mc_9_sym_5_on_11_2B_2F,62.6910000000,3.1085547665,-9.57111,-176107.882956,0.00000,-32360.900501,0.00000,6679.05221,-44480.30236,83.08106,98252.41368915069324,22-dmb_433K_1Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_1B_2CH3_ntn_edge,95.1990000000,5.1624473555,-27.47705,-363724.613208,0.00000,-97969.165654,0.00000,11936.68981,-213164.86887,282.98614,98252.41368915069324,22-dmb_433K_1Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_1B_4Br_ntn_edge,85.0586000000,2.3087064609,-24.48722,-337227.578987,0.00000,-78500.655264,0.00000,10834.30855,-193039.71526,250.21893,98252.41368915069324,22-dmb_433K_1Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_2B_2NH2_2B_2NH2,16.9418000000,2.3566950180,-4.55367,-50966.980766,0.00000,-5470.359281,0.00000,1575.09943,-12149.61054,47.94716,98252.41368915069324,22-dmb_433K_1Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_ntn_edge_1B_2F,85.8430000000,4.2178079137,-27.69910,-303316.137755,0.00000,-95900.411574,0.00000,9524.80891,-176069.80281,300.05820,98252.41368915069324,22-dmb_433K_1Bar
OPT_dag_sym_3_on_1_sym_7_mc_4_1B_2CH3,32.2814000000,6.6310958857,-21.88139,-99224.257039,0.00000,-30334.067294,0.00000,4739.03432,-45257.23055,257.55776,98252.41368915069324,22-dmb_433K_1Bar
OPT_dag_sym_3_on_1_sym_7_mc_4_2B_2CF3,16.9554000000,1.3511329778,-5.47286,-52279.709298,0.00000,-3471.027423,0.00000,1923.64571,-11509.55707,48.48655,98252.41368915069324,22-dmb_433K_1Bar
OPT_dag_sym_3_on_2_sym_7_mc_4_1B_2CH3,33.4890000000,6.9128274625,-21.43048,-107214.047447,0.00000,-32313.133146,0.00000,4570.24071,-51332.89620,267.89963,98252.41368915069324,22-dmb_433K_1Bar
OPT_dag_sym_3_on_2_sym_7_mc_4_2B_2F,16.6066000000,2.1498365703,-4.30563,-42700.770097,0.00000,-4697.049787,0.00000,1750.60182,-3656.44403,46.43806,98252.41368915069324,22-dmb_433K_1Bar
