MOF_name,Load [molecules/UC],Load [mol/kg framework],Enthalpy_Ads [KJ/mol],Host_Ads_vdW [K],Host_Ads_Coul [K],Ads_Ads_vdW [K],Ads_Ads_Coul [K],Ave_Heat_Cap [J/mol/K],Total_E [K],Ave_Dens [kg/m3],Fugacity [Pa],Molecule
OPT_cut_sym_8_mc_9_sym_3_on_2_2B_2NO2_2B_2NO2,5.4822000000,1.1436223845,-16.56386,-14164.640901,-6061.54347,-470.016313,-115.83952,3123.39699,-20812.04021,15.81733,99529.86363115794666,co2_313K_1Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_ntn_edge_1B_2NH2,34.0384000000,1.6842625294,-20.94668,-60736.479035,-19212.90828,-1847.226862,-581.83902,11585.59341,-82378.45320,61.11436,99529.86363115794666,co2_313K_1Bar
OPT_dag_sym_3_on_1_sym_7_mc_4_1B_2F,7.9934000000,1.5802075841,-18.34272,-26337.543051,-10220.60223,-1381.523201,-574.67745,4029.91576,-38514.34593,31.84306,99529.86363115794666,co2_313K_1Bar
OPT_dag_sym_3_on_1_sym_7_mc_4_2B_2CH3,10.9904000000,1.4916859477,-17.04038,-15867.435089,-5676.07289,-252.283076,-77.64493,3267.29924,-21873.43598,15.96856,99529.86363115794666,co2_313K_1Bar
OPT_dag_sym_3_on_2_sym_7_mc_4_1B_2CN,12.9548000000,2.4116982661,-20.76150,-20145.861027,-12083.18875,-1092.156955,-247.55716,3674.90676,-33568.76390,52.45098,99529.86363115794666,co2_313K_1Bar
OPT_dag_sym_3_on_2_sym_7_mc_4_2B_2NO2,14.2376000000,1.3799774926,-18.48892,-17620.021380,-10690.35569,-615.735777,-140.67794,4608.96533,-29066.79078,20.55883,99529.86363115794666,co2_313K_1Bar
OPT_ddi_sym_8_mc_9_1B_2CH3,,,,,,,,,,,,co2_313K_1Bar
OPT_edq_sym_3_on_1_sym_7_mc_4_1B_2Br_ntn_edge,21.3544000000,1.2873240123,-20.83925,-35895.802150,-11653.63225,-1201.932219,-324.15918,9149.13260,-49075.52580,47.72578,99529.86363115794666,co2_313K_1Bar
OPT_edq_sym_3_on_1_sym_7_mc_4_1B_2OH_ntn_edge,31.4648000000,2.9823958341,-23.00489,-51659.502320,-36168.21019,-2698.657800,-685.10901,11940.08804,-91211.47931,70.88385,99529.86363115794666,co2_313K_1Bar
OPT_edq_sym_3_on_1_sym_7_mc_4_2B_2CN_2B_2CN,32.5080000000,1.5861091223,-16.32996,-35646.338611,-25244.60705,-753.089898,-186.42566,8499.26824,-61830.46122,17.08202,99529.86363115794666,co2_313K_1Bar
OPT_edq_sym_3_on_1_sym_7_mc_4_ntn_edge_1B_2NO2,213.5552000000,3.6295642249,-27.18060,-453081.923474,-251624.19327,-29384.694363,-5334.79783,72482.14509,-739425.60894,182.35332,99529.86363115794666,co2_313K_1Bar
OPT_edq_sym_3_on_2_sym_7_mc_4_1B_2F_ntn_edge,17.7284000000,1.6614903568,-18.83878,-26216.196737,-10414.86984,-1377.269592,-478.01733,4895.63703,-38486.35350,38.83572,99529.86363115794666,co2_313K_1Bar
OPT_edq_sym_3_on_2_sym_7_mc_4_1B_4Br_ntn_edge,30.3008000000,1.2577618230,-22.14678,-55077.645190,-17693.19584,-1970.268647,-734.48066,11053.67023,-75475.59034,64.67838,99529.86363115794666,co2_313K_1Bar
OPT_edq_sym_3_on_2_sym_7_mc_4_2B_2SH_2B_2SH,32.2116000000,1.4563806932,-15.37046,-43545.841699,-18535.96321,-764.083635,-197.20673,6422.42932,-63043.09527,16.87562,99529.86363115794666,co2_313K_1Bar
OPT_edq_sym_3_on_2_sym_7_mc_4_ntn_edge_1B_4Br,248.8708000000,3.1138055442,-28.77947,-634518.772224,-193383.52282,-39419.339277,-13431.69477,66531.34329,-880753.32909,200.37939,99529.86363115794666,co2_313K_1Bar
OPT_eea_sym_6_mc_3_sym_3_on_2_1B_2OH,20.4936000000,1.6987482245,-18.32353,-29310.134604,-12555.91395,-892.749371,-248.03918,6243.80826,-43006.83711,30.47326,99529.86363115794666,co2_313K_1Bar
OPT_fcu_sym_12_mc_11_1B_4Br,128.2992000000,1.1269960549,-34.63878,-384473.828696,-54970.75360,-21463.692166,-7941.71555,56159.56225,-468849.99001,126.82567,99529.86363115794666,co2_313K_1Bar
OPT_fcu_sym_12_mc_11_2B_4H,12.7004000000,1.4972383934,-19.26764,-22838.483097,-1410.88065,-681.389672,-222.26398,5056.27362,-25153.01740,46.62196,99529.86363115794666,co2_313K_1Bar
OPT_flu_sym_8_mc_9_1AN_C_2B_2CH3,15.8384000000,1.3835332389,-19.04570,-29472.998617,-5620.29780,-455.086599,-143.01762,4539.80496,-35691.40064,32.98080,99529.86363115794666,co2_313K_1Bar
OPT_fog_sym_5_mc_2_sym_3_on_2_1B_2CF3_1B_2CF3,9.4580000000,0.6942207211,-15.18013,-11559.384109,-2093.46644,-163.688835,-41.00880,2409.74714,-13857.54819,15.34135,99529.86363115794666,co2_313K_1Bar
OPT_fog_sym_5_mc_2_sym_3_on_2_1B_2OH_ntn_edge,82.5900000000,2.0432486760,-22.24225,-135474.052028,-46073.33166,-5178.732509,-1277.62543,37007.85610,-188003.74163,66.08164,99529.86363115794666,co2_313K_1Bar
OPT_fog_sym_5_mc_2_sym_3_on_2_2B_2NH2_2B_2NH2,14.2568000000,1.0459060213,-11.77383,-14429.700649,-3059.77137,-145.133316,-55.60711,1837.99396,-17690.21245,7.51772,99529.86363115794666,co2_313K_1Bar
OPT_fog_sym_5_mc_2_sym_3_on_2_ntn_edge_1B_2SH,14.3036000000,1.5670219007,-18.15737,-20062.133584,-5445.49086,-464.527651,-129.53220,4853.31491,-26101.68430,31.85234,99529.86363115794666,co2_313K_1Bar
OPT_fsc_sym_6_mc_3_sym_5_on_11_1B_2OH_1B_2OH,18.1248000000,1.7694664618,-19.11372,-25473.459164,-11115.06631,-826.272341,-257.03565,7306.35699,-37671.83346,43.10368,99529.86363115794666,co2_313K_1Bar
OPT_fsc_sym_6_mc_3_sym_5_on_11_2B_2NO2_2B_2NO2,9.9506000000,1.0361649794,-16.42950,-23847.523876,-10239.51168,-395.104783,-104.67213,4458.39444,-34586.81247,19.68200,99529.86363115794666,co2_313K_1Bar
OPT_ftw_sym_12_mc_11_sym_5_on_11_1B_2F,63.2516000000,2.5123234322,-21.65879,-123435.151560,-17598.30725,-6978.883356,-2135.25527,25487.89318,-150147.59744,92.36335,99529.86363115794666,co2_313K_1Bar
OPT_ftw_sym_12_mc_11_sym_5_on_11_2B_2CN,10.7807000000,2.2325347049,-20.43984,-145708.531064,-44466.35641,-4352.082400,-1145.42607,33399.46429,-195672.39594,53.17436,99529.86363115794666,co2_313K_1Bar
OPT_hwx_sym_3_on_1_sym_7_mc_4_1B_2Br,17.3188000000,1.0848801759,-18.57927,-26400.047748,-8942.91012,-690.172485,-300.53256,5464.40167,-36333.66292,36.16880,99529.86363115794666,co2_313K_1Bar
OPT_hwx_sym_3_on_1_sym_7_mc_4_1B_4F,13.8456000000,1.1689986322,-17.51836,-19090.807403,-7862.61671,-438.195068,-112.06102,3283.20071,-27503.68020,28.21553,99529.86363115794666,co2_313K_1Bar
